" 3D Run ID"	"Dist"	"L_ant2"	"W_ant2"	"Tables\0D Results\S1,1_2.45GHz"	"Tables\0D Results\S1,1_5.5GHz"	"Tables\0D Results\S1,1_6.5GHz"
"1"	"1.27458"	"17.8178"	"1.30113"	"-8.11108"	"-11.0473"	"-11.6612"
"2"	"1.92018"	"17.497"	"1.36656"	"-9.07803"	"-8.38473"	"-11.1355"
"3"	"1.76746"	"17"	"1.35056"	"-8.84671"	"-8.27998"	"-10.8321"
"4"	"1.68236"	"17.8401"	"1.36325"	"-8.58082"	"-8.66129"	"-11.5765"
"5"	"1.27374"	"17"	"1.3414"	"-7.97497"	"-10.7761"	"-10.684"
"6"	"1.04916"	"17.8356"	"1.34415"	"-7.83609"	"-16.5452"	"-11.5598"
"7"	"1.37786"	"18.7178"	"1.3"	"-8.32039"	"-9.92947"	"-12.2844"
"8"	"1.91451"	"17.0397"	"1.33052"	"-8.91518"	"-8.0156"	"-10.8268"
"9"	"1.30406"	"17"	"1.35212"	"-8.04725"	"-10.5045"	"-10.7407"
"10"	"1.39574"	"17.5382"	"1.3"	"-8.30665"	"-10.3433"	"-11.3922"
"11"	"1.25951"	"17.2375"	"1.43065"	"-8.0668"	"-12.2725"	"-11.1031"
"12"	"1.56827"	"17"	"1.34951"	"-8.36751"	"-8.87964"	"-10.8442"
"13"	"1"	"17.07"	"1.30516"	"-7.52938"	"-17.983"	"-10.341"
"14"	"1.42877"	"17.7488"	"1.30621"	"-8.22543"	"-9.88339"	"-11.6314"
"15"	"1"	"17"	"1.3"	"-7.49105"	"-18.2489"	"-10.2326"
"16"	"1"	"17"	"1.36462"	"-7.5367"	"-18.4396"	"-10.3764"
"17"	"1.00177"	"17.6067"	"1.32132"	"-7.74523"	"-20.2374"	"-11.1982"
"18"	"1.03031"	"17"	"1.43439"	"-7.65141"	"-16.969"	"-10.5591"
"19"	"1.21888"	"17"	"1.3"	"-7.85574"	"-11.429"	"-10.5739"
"20"	"1"	"17.4696"	"1.34306"	"-7.73249"	"-21.0717"	"-11.086"
"21"	"1"	"17.0189"	"1.42183"	"-7.58568"	"-18.5245"	"-10.5221"
"22"	"1.6543"	"17"	"1.37417"	"-8.52745"	"-8.57963"	"-10.8378"
"23"	"1"	"17.0878"	"1.393"	"-7.59771"	"-18.1608"	"-10.5569"
